image,rank,similar_image,similarity
data_cat\1\Snipaste_2026-06-03_17-52-12.png,1,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9758
data_cat\1\Snipaste_2026-06-03_17-52-12.png,2,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9554
data_cat\1\Snipaste_2026-06-03_17-52-12.png,3,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9492
data_cat\1\Snipaste_2026-06-03_17-52-12.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9487
data_cat\1\Snipaste_2026-06-03_17-52-12.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9485
data_cat\1\Snipaste_2026-06-03_17-52-12.png,6,data_cat\2\2-3.png,0.9455
data_cat\1\Snipaste_2026-06-03_17-52-12.png,7,data_cat\5\5-9.png,0.9449
data_cat\1\Snipaste_2026-06-03_17-52-12.png,8,data_cat\5\5-6.png,0.9419
data_cat\1\Snipaste_2026-06-03_17-52-12.png,9,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-52-12.png,10,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9373
data_cat\1\Snipaste_2026-06-03_17-52-23.png,1,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9595
data_cat\1\Snipaste_2026-06-03_17-52-23.png,2,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9406
data_cat\1\Snipaste_2026-06-03_17-52-23.png,3,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9397
data_cat\1\Snipaste_2026-06-03_17-52-23.png,4,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9322
data_cat\1\Snipaste_2026-06-03_17-52-23.png,5,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9320
data_cat\1\Snipaste_2026-06-03_17-52-23.png,6,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9315
data_cat\1\Snipaste_2026-06-03_17-52-23.png,7,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9267
data_cat\1\Snipaste_2026-06-03_17-52-23.png,8,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9217
data_cat\1\Snipaste_2026-06-03_17-52-23.png,9,data_cat\3\3-2.png,0.9209
data_cat\1\Snipaste_2026-06-03_17-52-23.png,10,data_cat\3\3-5.png,0.9197
data_cat\1\Snipaste_2026-06-03_17-52-48.png,1,data_cat\2\2-10.png,0.9400
data_cat\1\Snipaste_2026-06-03_17-52-48.png,2,data_cat\2\2-2.png,0.9382
data_cat\1\Snipaste_2026-06-03_17-52-48.png,3,data_cat\2\2-7.png,0.9358
data_cat\1\Snipaste_2026-06-03_17-52-48.png,4,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9322
data_cat\1\Snipaste_2026-06-03_17-52-48.png,5,data_cat\2\2-9.png,0.9310
data_cat\1\Snipaste_2026-06-03_17-52-48.png,6,data_cat\5\5-7.png,0.9298
data_cat\1\Snipaste_2026-06-03_17-52-48.png,7,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9255
data_cat\1\Snipaste_2026-06-03_17-52-48.png,8,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9211
data_cat\1\Snipaste_2026-06-03_17-52-48.png,9,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9184
data_cat\1\Snipaste_2026-06-03_17-52-48.png,10,data_cat\2\2-4.png,0.9113
data_cat\1\Snipaste_2026-06-03_17-52-55.png,1,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9595
data_cat\1\Snipaste_2026-06-03_17-52-55.png,2,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9515
data_cat\1\Snipaste_2026-06-03_17-52-55.png,3,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9453
data_cat\1\Snipaste_2026-06-03_17-52-55.png,4,data_cat\5\5-7.png,0.9440
data_cat\1\Snipaste_2026-06-03_17-52-55.png,5,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9424
data_cat\1\Snipaste_2026-06-03_17-52-55.png,6,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9292
data_cat\1\Snipaste_2026-06-03_17-52-55.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9253
data_cat\1\Snipaste_2026-06-03_17-52-55.png,8,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9252
data_cat\1\Snipaste_2026-06-03_17-52-55.png,9,data_cat\2\2-2.png,0.9250
data_cat\1\Snipaste_2026-06-03_17-52-55.png,10,data_cat\5\5-10.png,0.9248
data_cat\1\Snipaste_2026-06-03_17-53-03.png,1,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9758
data_cat\1\Snipaste_2026-06-03_17-53-03.png,2,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9542
data_cat\1\Snipaste_2026-06-03_17-53-03.png,3,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9536
data_cat\1\Snipaste_2026-06-03_17-53-03.png,4,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9510
data_cat\1\Snipaste_2026-06-03_17-53-03.png,5,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9478
data_cat\1\Snipaste_2026-06-03_17-53-03.png,6,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9457
data_cat\1\Snipaste_2026-06-03_17-53-03.png,7,data_cat\5\5-6.png,0.9452
data_cat\1\Snipaste_2026-06-03_17-53-03.png,8,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-53-03.png,9,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-53-03.png,10,data_cat\5\5-9.png,0.9385
data_cat\1\Snipaste_2026-06-03_17-54-27.png,1,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9515
data_cat\1\Snipaste_2026-06-03_17-54-27.png,2,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9483
data_cat\1\Snipaste_2026-06-03_17-54-27.png,3,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-54-27.png,4,data_cat\5\5-9.png,0.9377
data_cat\1\Snipaste_2026-06-03_17-54-27.png,5,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9368
data_cat\1\Snipaste_2026-06-03_17-54-27.png,6,data_cat\5\5-6.png,0.9359
data_cat\1\Snipaste_2026-06-03_17-54-27.png,7,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9352
data_cat\1\Snipaste_2026-06-03_17-54-27.png,8,data_cat\4\4-3.png,0.9331
data_cat\1\Snipaste_2026-06-03_17-54-27.png,9,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.9313
data_cat\1\Snipaste_2026-06-03_17-54-27.png,10,data_cat\5\5-7.png,0.9276
data_cat\1\Snipaste_2026-06-03_17-54-38.png,1,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9790
data_cat\1\Snipaste_2026-06-03_17-54-38.png,2,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9559
data_cat\1\Snipaste_2026-06-03_17-54-38.png,3,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9542
data_cat\1\Snipaste_2026-06-03_17-54-38.png,4,data_cat\2\2-3.png,0.9532
data_cat\1\Snipaste_2026-06-03_17-54-38.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9514
data_cat\1\Snipaste_2026-06-03_17-54-38.png,6,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9499
data_cat\1\Snipaste_2026-06-03_17-54-38.png,7,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9483
data_cat\1\Snipaste_2026-06-03_17-54-38.png,8,data_cat\5\5-9.png,0.9464
data_cat\1\Snipaste_2026-06-03_17-54-38.png,9,data_cat\5\5-6.png,0.9456
data_cat\1\Snipaste_2026-06-03_17-54-38.png,10,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9399
data_cat\1\Snipaste_2026-06-03_17-55-02.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9558
data_cat\1\Snipaste_2026-06-03_17-55-02.png,2,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9458
data_cat\1\Snipaste_2026-06-03_17-55-02.png,3,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9453
data_cat\1\Snipaste_2026-06-03_17-55-02.png,4,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9399
data_cat\1\Snipaste_2026-06-03_17-55-02.png,5,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9398
data_cat\1\Snipaste_2026-06-03_17-55-02.png,6,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9348
data_cat\1\Snipaste_2026-06-03_17-55-02.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9283
data_cat\1\Snipaste_2026-06-03_17-55-02.png,8,data_cat\3\3-5.png,0.9265
data_cat\1\Snipaste_2026-06-03_17-55-02.png,9,data_cat\3\3-2.png,0.9239
data_cat\1\Snipaste_2026-06-03_17-55-02.png,10,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9229
data_cat\1\Snipaste_2026-06-03_17-56-18.png,1,data_cat\1\Snipaste_2026-06-03_17-56-50.png,0.9434
data_cat\1\Snipaste_2026-06-03_17-56-18.png,2,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9333
data_cat\1\Snipaste_2026-06-03_17-56-18.png,3,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9277
data_cat\1\Snipaste_2026-06-03_17-56-18.png,4,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9251
data_cat\1\Snipaste_2026-06-03_17-56-18.png,5,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9240
data_cat\1\Snipaste_2026-06-03_17-56-18.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9191
data_cat\1\Snipaste_2026-06-03_17-56-18.png,7,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9190
data_cat\1\Snipaste_2026-06-03_17-56-18.png,8,data_cat\2\2-3.png,0.9185
data_cat\1\Snipaste_2026-06-03_17-56-18.png,9,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9168
data_cat\1\Snipaste_2026-06-03_17-56-18.png,10,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9152
data_cat\1\Snipaste_2026-06-03_17-56-40.png,1,data_cat\2\2-3.png,0.9672
data_cat\1\Snipaste_2026-06-03_17-56-40.png,2,data_cat\5\5-9.png,0.9641
data_cat\1\Snipaste_2026-06-03_17-56-40.png,3,data_cat\5\5-6.png,0.9611
data_cat\1\Snipaste_2026-06-03_17-56-40.png,4,data_cat\2\2-4.png,0.9553
data_cat\1\Snipaste_2026-06-03_17-56-40.png,5,data_cat\5\5-1.png,0.9544
data_cat\1\Snipaste_2026-06-03_17-56-40.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9542
data_cat\1\Snipaste_2026-06-03_17-56-40.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9487
data_cat\1\Snipaste_2026-06-03_17-56-40.png,8,data_cat\4\4-3.png,0.9482
data_cat\1\Snipaste_2026-06-03_17-56-40.png,9,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9477
data_cat\1\Snipaste_2026-06-03_17-56-40.png,10,data_cat\2\2-6.png,0.9470
data_cat\1\Snipaste_2026-06-03_17-56-50.png,1,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9493
data_cat\1\Snipaste_2026-06-03_17-56-50.png,2,data_cat\5\5-9.png,0.9444
data_cat\1\Snipaste_2026-06-03_17-56-50.png,3,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9434
data_cat\1\Snipaste_2026-06-03_17-56-50.png,4,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9416
data_cat\1\Snipaste_2026-06-03_17-56-50.png,5,data_cat\2\2-3.png,0.9346
data_cat\1\Snipaste_2026-06-03_17-56-50.png,6,data_cat\5\5-1.png,0.9345
data_cat\1\Snipaste_2026-06-03_17-56-50.png,7,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9327
data_cat\1\Snipaste_2026-06-03_17-56-50.png,8,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9319
data_cat\1\Snipaste_2026-06-03_17-56-50.png,9,data_cat\5\5-6.png,0.9286
data_cat\1\Snipaste_2026-06-03_17-56-50.png,10,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9273
data_cat\1\Snipaste_2026-06-03_17-56-56.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9609
data_cat\1\Snipaste_2026-06-03_17-56-56.png,2,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9427
data_cat\1\Snipaste_2026-06-03_17-56-56.png,3,data_cat\1\Snipaste_2026-06-03_17-56-50.png,0.9416
data_cat\1\Snipaste_2026-06-03_17-56-56.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9381
data_cat\1\Snipaste_2026-06-03_17-56-56.png,5,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-56-56.png,6,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9333
data_cat\1\Snipaste_2026-06-03_17-56-56.png,7,data_cat\5\5-7.png,0.9305
data_cat\1\Snipaste_2026-06-03_17-56-56.png,8,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9292
data_cat\1\Snipaste_2026-06-03_17-56-56.png,9,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9268
data_cat\1\Snipaste_2026-06-03_17-56-56.png,10,data_cat\2\2-2.png,0.9218
data_cat\1\Snipaste_2026-06-03_17-57-05.png,1,data_cat\5\5-7.png,0.9566
data_cat\1\Snipaste_2026-06-03_17-57-05.png,2,data_cat\1\Snipaste_2026-06-03_17-56-50.png,0.9493
data_cat\1\Snipaste_2026-06-03_17-57-05.png,3,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9450
data_cat\1\Snipaste_2026-06-03_17-57-05.png,4,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9430
data_cat\1\Snipaste_2026-06-03_17-57-05.png,5,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9424
data_cat\1\Snipaste_2026-06-03_17-57-05.png,6,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9403
data_cat\1\Snipaste_2026-06-03_17-57-05.png,7,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9352
data_cat\1\Snipaste_2026-06-03_17-57-05.png,8,data_cat\5\5-9.png,0.9274
data_cat\1\Snipaste_2026-06-03_17-57-05.png,9,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9269
data_cat\1\Snipaste_2026-06-03_17-57-05.png,10,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9255
data_cat\1\Snipaste_2026-06-03_17-57-19.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9642
data_cat\1\Snipaste_2026-06-03_17-57-19.png,2,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9520
data_cat\1\Snipaste_2026-06-03_17-57-19.png,3,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9398
data_cat\1\Snipaste_2026-06-03_17-57-19.png,4,data_cat\2\2-3.png,0.9376
data_cat\1\Snipaste_2026-06-03_17-57-19.png,5,data_cat\2\2-6.png,0.9365
data_cat\1\Snipaste_2026-06-03_17-57-19.png,6,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9315
data_cat\1\Snipaste_2026-06-03_17-57-19.png,7,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9280
data_cat\1\Snipaste_2026-06-03_17-57-19.png,8,data_cat\1\Snipaste_2026-06-03_17-56-18.png,0.9240
data_cat\1\Snipaste_2026-06-03_17-57-19.png,9,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9234
data_cat\1\Snipaste_2026-06-03_17-57-19.png,10,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9232
data_cat\1\Snipaste_2026-06-03_17-57-29.png,1,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9609
data_cat\1\Snipaste_2026-06-03_17-57-29.png,2,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9609
data_cat\1\Snipaste_2026-06-03_17-57-29.png,3,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9593
data_cat\1\Snipaste_2026-06-03_17-57-29.png,4,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9558
data_cat\1\Snipaste_2026-06-03_17-57-29.png,5,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9481
data_cat\1\Snipaste_2026-06-03_17-57-29.png,6,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9430
data_cat\1\Snipaste_2026-06-03_17-57-29.png,7,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9406
data_cat\1\Snipaste_2026-06-03_17-57-29.png,8,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-57-29.png,9,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9297
data_cat\1\Snipaste_2026-06-03_17-57-29.png,10,data_cat\3\3-5.png,0.9284
data_cat\1\Snipaste_2026-06-03_17-57-35.png,1,data_cat\2\2-3.png,0.9571
data_cat\1\Snipaste_2026-06-03_17-57-35.png,2,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9520
data_cat\1\Snipaste_2026-06-03_17-57-35.png,3,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9499
data_cat\1\Snipaste_2026-06-03_17-57-35.png,4,data_cat\3\3-1.png,0.9496
data_cat\1\Snipaste_2026-06-03_17-57-35.png,5,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9478
data_cat\1\Snipaste_2026-06-03_17-57-35.png,6,data_cat\2\2-6.png,0.9443
data_cat\1\Snipaste_2026-06-03_17-57-35.png,7,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9389
data_cat\1\Snipaste_2026-06-03_17-57-35.png,8,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9381
data_cat\1\Snipaste_2026-06-03_17-57-35.png,9,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-57-35.png,10,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9364
data_cat\1\Snipaste_2026-06-03_17-57-43.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9609
data_cat\1\Snipaste_2026-06-03_17-57-43.png,2,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9603
data_cat\1\Snipaste_2026-06-03_17-57-43.png,3,data_cat\2\2-6.png,0.9575
data_cat\1\Snipaste_2026-06-03_17-57-43.png,4,data_cat\2\2-3.png,0.9568
data_cat\1\Snipaste_2026-06-03_17-57-43.png,5,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9559
data_cat\1\Snipaste_2026-06-03_17-57-43.png,6,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9492
data_cat\1\Snipaste_2026-06-03_17-57-43.png,7,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9420
data_cat\1\Snipaste_2026-06-03_17-57-43.png,8,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9394
data_cat\1\Snipaste_2026-06-03_17-57-43.png,9,data_cat\6\Snipaste_2026-06-03_18-02-22.png,0.9336
data_cat\1\Snipaste_2026-06-03_17-57-43.png,10,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9336
data_cat\1\Snipaste_2026-06-03_17-57-55.png,1,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9481
data_cat\1\Snipaste_2026-06-03_17-57-55.png,2,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9398
data_cat\1\Snipaste_2026-06-03_17-57-55.png,3,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9379
data_cat\1\Snipaste_2026-06-03_17-57-55.png,4,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9315
data_cat\1\Snipaste_2026-06-03_17-57-55.png,5,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9269
data_cat\1\Snipaste_2026-06-03_17-57-55.png,6,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9251
data_cat\1\Snipaste_2026-06-03_17-57-55.png,7,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9204
data_cat\1\Snipaste_2026-06-03_17-57-55.png,8,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9152
data_cat\1\Snipaste_2026-06-03_17-57-55.png,9,data_cat\1\Snipaste_2026-06-03_17-56-50.png,0.9038
data_cat\1\Snipaste_2026-06-03_17-57-55.png,10,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9027
data_cat\1\Snipaste_2026-06-03_17-58-08.png,1,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.8903
data_cat\1\Snipaste_2026-06-03_17-58-08.png,2,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.8896
data_cat\1\Snipaste_2026-06-03_17-58-08.png,3,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.8870
data_cat\1\Snipaste_2026-06-03_17-58-08.png,4,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.8767
data_cat\1\Snipaste_2026-06-03_17-58-08.png,5,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.8758
data_cat\1\Snipaste_2026-06-03_17-58-08.png,6,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.8744
data_cat\1\Snipaste_2026-06-03_17-58-08.png,7,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.8719
data_cat\1\Snipaste_2026-06-03_17-58-08.png,8,data_cat\2\2-3.png,0.8714
data_cat\1\Snipaste_2026-06-03_17-58-08.png,9,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.8711
data_cat\1\Snipaste_2026-06-03_17-58-08.png,10,data_cat\4\4-4.png,0.8682
data_cat\1\Snipaste_2026-06-03_17-58-27.png,1,data_cat\1\Snipaste_2026-06-03_17-57-55.png,0.9577
data_cat\1\Snipaste_2026-06-03_17-58-27.png,2,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9458
data_cat\1\Snipaste_2026-06-03_17-58-27.png,3,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9427
data_cat\1\Snipaste_2026-06-03_17-58-27.png,4,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9403
data_cat\1\Snipaste_2026-06-03_17-58-27.png,5,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9267
data_cat\1\Snipaste_2026-06-03_17-58-27.png,6,data_cat\8\Snipaste_2026-06-05_15-16-17.png,0.9267
data_cat\1\Snipaste_2026-06-03_17-58-27.png,7,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9188
data_cat\1\Snipaste_2026-06-03_17-58-27.png,8,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9172
data_cat\1\Snipaste_2026-06-03_17-58-27.png,9,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9170
data_cat\1\Snipaste_2026-06-03_17-58-27.png,10,data_cat\3\3-5.png,0.9133
data_cat\10\Snipaste_2026-06-05_15-22-02.png,1,data_cat\10\Snipaste_2026-06-05_15-22-31.png,0.9460
data_cat\10\Snipaste_2026-06-05_15-22-02.png,2,data_cat\10\Snipaste_2026-06-05_15-22-23.png,0.9206
data_cat\10\Snipaste_2026-06-05_15-22-02.png,3,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.8966
data_cat\10\Snipaste_2026-06-05_15-22-02.png,4,data_cat\7\Snipaste_2026-06-05_15-14-19.png,0.8936
data_cat\10\Snipaste_2026-06-05_15-22-02.png,5,data_cat\3\3-6.png,0.8884
data_cat\10\Snipaste_2026-06-05_15-22-02.png,6,data_cat\2\2-7.png,0.8808
data_cat\10\Snipaste_2026-06-05_15-22-02.png,7,data_cat\2\2-4.png,0.8778
data_cat\10\Snipaste_2026-06-05_15-22-02.png,8,data_cat\2\2-2.png,0.8756
data_cat\10\Snipaste_2026-06-05_15-22-02.png,9,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.8725
data_cat\10\Snipaste_2026-06-05_15-22-02.png,10,data_cat\6\Snipaste_2026-06-03_18-01-03.png,0.8706
data_cat\10\Snipaste_2026-06-05_15-22-23.png,1,data_cat\10\Snipaste_2026-06-05_15-22-02.png,0.9206
data_cat\10\Snipaste_2026-06-05_15-22-23.png,2,data_cat\10\Snipaste_2026-06-05_15-22-37.png,0.9170
data_cat\10\Snipaste_2026-06-05_15-22-23.png,3,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.8939
