image,rank,similar_image,similarity
data_cat\10\Snipaste_2026-06-05_15-22-23.png,4,data_cat\7\Snipaste_2026-06-05_15-14-19.png,0.8848
data_cat\10\Snipaste_2026-06-05_15-22-23.png,5,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.8818
data_cat\10\Snipaste_2026-06-05_15-22-23.png,6,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.8796
data_cat\10\Snipaste_2026-06-05_15-22-23.png,7,data_cat\9\Snipaste_2026-06-05_15-20-12.png,0.8794
data_cat\10\Snipaste_2026-06-05_15-22-23.png,8,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.8784
data_cat\10\Snipaste_2026-06-05_15-22-23.png,9,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.8745
data_cat\10\Snipaste_2026-06-05_15-22-23.png,10,data_cat\3\3-3.png,0.8733
data_cat\10\Snipaste_2026-06-05_15-22-31.png,1,data_cat\10\Snipaste_2026-06-05_15-22-02.png,0.9460
data_cat\10\Snipaste_2026-06-05_15-22-31.png,2,data_cat\10\Snipaste_2026-06-05_15-22-23.png,0.9375
data_cat\10\Snipaste_2026-06-05_15-22-31.png,3,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.8612
data_cat\10\Snipaste_2026-06-05_15-22-31.png,4,data_cat\2\2-3.png,0.8587
data_cat\10\Snipaste_2026-06-05_15-22-31.png,5,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.8528
data_cat\10\Snipaste_2026-06-05_15-22-31.png,6,data_cat\5\5-9.png,0.8509
data_cat\10\Snipaste_2026-06-05_15-22-31.png,7,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.8497
data_cat\10\Snipaste_2026-06-05_15-22-31.png,8,data_cat\2\2-4.png,0.8469
data_cat\10\Snipaste_2026-06-05_15-22-31.png,9,data_cat\3\3-8.png,0.8455
data_cat\10\Snipaste_2026-06-05_15-22-31.png,10,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.8444
data_cat\10\Snipaste_2026-06-05_15-22-37.png,1,data_cat\10\Snipaste_2026-06-05_15-22-02.png,0.9716
data_cat\10\Snipaste_2026-06-05_15-22-37.png,2,data_cat\10\Snipaste_2026-06-05_15-22-23.png,0.9170
data_cat\10\Snipaste_2026-06-05_15-22-37.png,3,data_cat\7\Snipaste_2026-06-05_15-14-41.png,0.8888
data_cat\10\Snipaste_2026-06-05_15-22-37.png,4,data_cat\7\Snipaste_2026-06-05_15-14-19.png,0.8797
data_cat\10\Snipaste_2026-06-05_15-22-37.png,5,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.8668
data_cat\10\Snipaste_2026-06-05_15-22-37.png,6,data_cat\7\Snipaste_2026-06-05_15-14-54.png,0.8623
data_cat\10\Snipaste_2026-06-05_15-22-37.png,7,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.8619
data_cat\10\Snipaste_2026-06-05_15-22-37.png,8,data_cat\2\2-4.png,0.8617
data_cat\10\Snipaste_2026-06-05_15-22-37.png,9,data_cat\2\2-3.png,0.8616
data_cat\10\Snipaste_2026-06-05_15-22-37.png,10,data_cat\5\5-9.png,0.8576
data_cat\2\2-1.png,1,data_cat\2\2-9.png,0.9424
data_cat\2\2-1.png,2,data_cat\2\2-2.png,0.9400
data_cat\2\2-1.png,3,data_cat\2\2-5.png,0.9395
data_cat\2\2-1.png,4,data_cat\2\2-10.png,0.9257
data_cat\2\2-1.png,5,data_cat\2\2-7.png,0.9146
data_cat\2\2-1.png,6,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9094
data_cat\2\2-1.png,7,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9010
data_cat\2\2-1.png,8,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.8971
data_cat\2\2-1.png,9,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.8914
data_cat\2\2-1.png,10,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.8864
data_cat\2\2-10.png,1,data_cat\4\4-1.png,0.9481
data_cat\2\2-10.png,2,data_cat\2\2-7.png,0.9449
data_cat\2\2-10.png,3,data_cat\2\2-9.png,0.9446
data_cat\2\2-10.png,4,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9400
data_cat\2\2-10.png,5,data_cat\2\2-4.png,0.9348
data_cat\2\2-10.png,6,data_cat\2\2-1.png,0.9257
data_cat\2\2-10.png,7,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9249
data_cat\2\2-10.png,8,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9248
data_cat\2\2-10.png,9,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9245
data_cat\2\2-10.png,10,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9231
data_cat\2\2-2.png,1,data_cat\2\2-10.png,0.9628
data_cat\2\2-2.png,2,data_cat\2\2-4.png,0.9600
data_cat\2\2-2.png,3,data_cat\2\2-9.png,0.9563
data_cat\2\2-2.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9406
data_cat\2\2-2.png,5,data_cat\2\2-1.png,0.9400
data_cat\2\2-2.png,6,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9382
data_cat\2\2-2.png,7,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9289
data_cat\2\2-2.png,8,data_cat\2\2-3.png,0.9287
data_cat\2\2-2.png,9,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9250
data_cat\2\2-2.png,10,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9218
data_cat\2\2-3.png,1,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9672
data_cat\2\2-3.png,2,data_cat\5\5-6.png,0.9633
data_cat\2\2-3.png,3,data_cat\5\5-1.png,0.9608
data_cat\2\2-3.png,4,data_cat\5\5-9.png,0.9597
data_cat\2\2-3.png,5,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9571
data_cat\2\2-3.png,6,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9568
data_cat\2\2-3.png,7,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9532
data_cat\2\2-3.png,8,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9532
data_cat\2\2-3.png,9,data_cat\4\4-4.png,0.9499
data_cat\2\2-3.png,10,data_cat\2\2-4.png,0.9494
data_cat\2\2-4.png,1,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9553
data_cat\2\2-4.png,2,data_cat\2\2-9.png,0.9507
data_cat\2\2-4.png,3,data_cat\2\2-7.png,0.9495
data_cat\2\2-4.png,4,data_cat\2\2-3.png,0.9494
data_cat\2\2-4.png,5,data_cat\4\4-3.png,0.9458
data_cat\2\2-4.png,6,data_cat\2\2-1.png,0.9457
data_cat\2\2-4.png,7,data_cat\2\2-6.png,0.9392
data_cat\2\2-4.png,8,data_cat\2\2-10.png,0.9348
data_cat\2\2-4.png,9,data_cat\5\5-9.png,0.9315
data_cat\2\2-4.png,10,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9315
data_cat\2\2-5.png,1,data_cat\2\2-4.png,0.9096
data_cat\2\2-5.png,2,data_cat\2\2-9.png,0.9029
data_cat\2\2-5.png,3,data_cat\2\2-2.png,0.9000
data_cat\2\2-5.png,4,data_cat\2\2-10.png,0.8910
data_cat\2\2-5.png,5,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.8808
data_cat\2\2-5.png,6,data_cat\2\2-7.png,0.8787
data_cat\2\2-5.png,7,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.8664
data_cat\2\2-5.png,8,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.8606
data_cat\2\2-5.png,9,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.8529
data_cat\2\2-5.png,10,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.8456
data_cat\2\2-6.png,1,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9575
data_cat\2\2-6.png,2,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9470
data_cat\2\2-6.png,3,data_cat\1\Snipaste_2026-06-03_17-57-35.png,0.9443
data_cat\2\2-6.png,4,data_cat\5\5-1.png,0.9419
data_cat\2\2-6.png,5,data_cat\2\2-4.png,0.9392
data_cat\2\2-6.png,6,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9365
data_cat\2\2-6.png,7,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9338
data_cat\2\2-6.png,8,data_cat\5\5-9.png,0.9318
data_cat\2\2-6.png,9,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9310
data_cat\2\2-6.png,10,data_cat\5\5-6.png,0.9309
data_cat\2\2-7.png,1,data_cat\2\2-9.png,0.9553
data_cat\2\2-7.png,2,data_cat\2\2-4.png,0.9495
data_cat\2\2-7.png,3,data_cat\2\2-10.png,0.9449
data_cat\2\2-7.png,4,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9358
data_cat\2\2-7.png,5,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9241
data_cat\2\2-7.png,6,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9215
data_cat\2\2-7.png,7,data_cat\2\2-1.png,0.9146
data_cat\2\2-7.png,8,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9141
data_cat\2\2-7.png,9,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9134
data_cat\2\2-7.png,10,data_cat\2\2-3.png,0.9082
data_cat\2\2-9.png,1,data_cat\2\2-7.png,0.9553
data_cat\2\2-9.png,2,data_cat\2\2-4.png,0.9507
data_cat\2\2-9.png,3,data_cat\2\2-10.png,0.9446
data_cat\2\2-9.png,4,data_cat\2\2-1.png,0.9424
data_cat\2\2-9.png,5,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9310
data_cat\2\2-9.png,6,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9242
data_cat\2\2-9.png,7,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9192
data_cat\2\2-9.png,8,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9145
data_cat\2\2-9.png,9,data_cat\2\2-3.png,0.9145
data_cat\2\2-9.png,10,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9102
data_cat\3\3-1.png,1,data_cat\6\Snipaste_2026-06-03_18-02-22.png,0.9402
data_cat\3\3-1.png,2,data_cat\3\3-3.png,0.9249
data_cat\3\3-1.png,3,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9245
data_cat\3\3-1.png,4,data_cat\2\2-3.png,0.9196
data_cat\3\3-1.png,5,data_cat\6\Snipaste_2026-06-03_18-01-03.png,0.9171
data_cat\3\3-1.png,6,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9108
data_cat\3\3-1.png,7,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9099
data_cat\3\3-1.png,8,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9093
data_cat\3\3-1.png,9,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9084
data_cat\3\3-1.png,10,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9042
data_cat\3\3-2.png,1,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9458
data_cat\3\3-2.png,2,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9402
data_cat\3\3-2.png,3,data_cat\3\3-6.png,0.9341
data_cat\3\3-2.png,4,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9239
data_cat\3\3-2.png,5,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9209
data_cat\3\3-2.png,6,data_cat\6\Snipaste_2026-06-03_18-02-22.png,0.9177
data_cat\3\3-2.png,7,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9125
data_cat\3\3-2.png,8,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9102
data_cat\3\3-2.png,9,data_cat\2\2-10.png,0.9080
data_cat\3\3-2.png,10,data_cat\1\Snipaste_2026-06-03_17-57-19.png,0.9075
data_cat\3\3-3.png,1,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.9543
data_cat\3\3-3.png,2,data_cat\6\Snipaste_2026-06-03_18-01-03.png,0.9454
data_cat\3\3-3.png,3,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9449
data_cat\3\3-3.png,4,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9378
data_cat\3\3-3.png,5,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9341
data_cat\3\3-3.png,6,data_cat\3\3-6.png,0.9327
data_cat\3\3-3.png,7,data_cat\8\Snipaste_2026-06-05_15-17-20.png,0.9325
data_cat\3\3-3.png,8,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9308
data_cat\3\3-3.png,9,data_cat\5\5-6.png,0.9291
data_cat\3\3-3.png,10,data_cat\9\Snipaste_2026-06-05_15-19-31.png,0.9290
data_cat\3\3-4.png,1,data_cat\3\3-6.png,0.9423
data_cat\3\3-4.png,2,data_cat\3\3-7.png,0.9381
data_cat\3\3-4.png,3,data_cat\3\3-8.png,0.9362
data_cat\3\3-4.png,4,data_cat\3\3-5.png,0.9288
data_cat\3\3-4.png,5,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9195
data_cat\3\3-4.png,6,data_cat\6\Snipaste_2026-06-03_18-01-03.png,0.9173
data_cat\3\3-4.png,7,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.9167
data_cat\3\3-4.png,8,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9124
data_cat\3\3-4.png,9,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9098
data_cat\3\3-4.png,10,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9071
data_cat\3\3-5.png,1,data_cat\3\3-2.png,0.9538
data_cat\3\3-5.png,2,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9349
data_cat\3\3-5.png,3,data_cat\3\3-4.png,0.9288
data_cat\3\3-5.png,4,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9284
data_cat\3\3-5.png,5,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9265
data_cat\3\3-5.png,6,data_cat\3\3-7.png,0.9260
data_cat\3\3-5.png,7,data_cat\3\3-3.png,0.9260
data_cat\3\3-5.png,8,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9197
data_cat\3\3-5.png,9,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9191
data_cat\3\3-5.png,10,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9133
data_cat\3\3-6.png,1,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9465
data_cat\3\3-6.png,2,data_cat\3\3-4.png,0.9423
data_cat\3\3-6.png,3,data_cat\3\3-2.png,0.9341
data_cat\3\3-6.png,4,data_cat\3\3-3.png,0.9327
data_cat\3\3-6.png,5,data_cat\1\Snipaste_2026-06-03_17-57-29.png,0.9260
data_cat\3\3-6.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9244
data_cat\3\3-6.png,7,data_cat\3\3-8.png,0.9235
data_cat\3\3-6.png,8,data_cat\1\Snipaste_2026-06-03_17-57-43.png,0.9196
data_cat\3\3-6.png,9,data_cat\3\3-7.png,0.9192
data_cat\3\3-6.png,10,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9179
data_cat\3\3-7.png,1,data_cat\3\3-5.png,0.9260
data_cat\3\3-7.png,2,data_cat\1\Snipaste_2026-06-03_17-55-02.png,0.9215
data_cat\3\3-7.png,3,data_cat\3\3-6.png,0.9192
data_cat\3\3-7.png,4,data_cat\3\3-3.png,0.9153
data_cat\3\3-7.png,5,data_cat\1\Snipaste_2026-06-03_17-58-27.png,0.9124
data_cat\3\3-7.png,6,data_cat\1\Snipaste_2026-06-03_17-52-23.png,0.9089
data_cat\3\3-7.png,7,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9055
data_cat\3\3-7.png,8,data_cat\3\3-8.png,0.9033
data_cat\3\3-7.png,9,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9015
data_cat\3\3-7.png,10,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.8988
data_cat\3\3-8.png,1,data_cat\3\3-6.png,0.9235
data_cat\3\3-8.png,2,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9213
data_cat\3\3-8.png,3,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9195
data_cat\3\3-8.png,4,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9178
data_cat\3\3-8.png,5,data_cat\3\3-3.png,0.9138
data_cat\3\3-8.png,6,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9106
data_cat\3\3-8.png,7,data_cat\4\4-3.png,0.9105
data_cat\3\3-8.png,8,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9104
data_cat\3\3-8.png,9,data_cat\8\Snipaste_2026-06-05_15-16-46.png,0.9086
data_cat\3\3-8.png,10,data_cat\2\2-3.png,0.9061
data_cat\4\4-1.png,1,data_cat\2\2-2.png,0.9079
data_cat\4\4-1.png,2,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.8979
data_cat\4\4-1.png,3,data_cat\3\3-2.png,0.8956
data_cat\4\4-1.png,4,data_cat\3\3-5.png,0.8911
data_cat\4\4-1.png,5,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.8864
data_cat\4\4-1.png,6,data_cat\2\2-9.png,0.8860
data_cat\4\4-1.png,7,data_cat\2\2-7.png,0.8858
data_cat\4\4-1.png,8,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.8845
data_cat\4\4-1.png,9,data_cat\2\2-4.png,0.8838
data_cat\4\4-1.png,10,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.8820
data_cat\4\4-3.png,1,data_cat\5\5-9.png,0.9578
data_cat\4\4-3.png,2,data_cat\5\5-6.png,0.9530
data_cat\4\4-3.png,3,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9482
data_cat\4\4-3.png,4,data_cat\2\2-3.png,0.9471
data_cat\4\4-3.png,5,data_cat\2\2-4.png,0.9458
data_cat\4\4-3.png,6,data_cat\5\5-1.png,0.9438
data_cat\4\4-3.png,7,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9331
data_cat\4\4-3.png,8,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9303
data_cat\4\4-3.png,9,data_cat\5\5-4.png,0.9276
data_cat\4\4-3.png,10,data_cat\1\Snipaste_2026-06-03_17-52-12.png,0.9255
data_cat\4\4-4.png,1,data_cat\4\4-3.png,0.9585
data_cat\4\4-4.png,2,data_cat\5\5-9.png,0.9507
data_cat\4\4-4.png,3,data_cat\2\2-3.png,0.9499
data_cat\4\4-4.png,4,data_cat\5\5-1.png,0.9494
data_cat\4\4-4.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9484
data_cat\4\4-4.png,6,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9387
data_cat\4\4-4.png,7,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9363
data_cat\4\4-4.png,8,data_cat\5\5-4.png,0.9349
data_cat\4\4-4.png,9,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9334
data_cat\4\4-4.png,10,data_cat\1\Snipaste_2026-06-03_17-53-03.png,0.9309
data_cat\5\5-1.png,1,data_cat\5\5-9.png,0.9725
data_cat\5\5-1.png,2,data_cat\2\2-3.png,0.9608
data_cat\5\5-1.png,3,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9581
data_cat\5\5-1.png,4,data_cat\5\5-4.png,0.9550
data_cat\5\5-1.png,5,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9544
data_cat\5\5-1.png,6,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9530
data_cat\5\5-1.png,7,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9502
data_cat\5\5-1.png,8,data_cat\4\4-4.png,0.9494
data_cat\5\5-1.png,9,data_cat\4\4-3.png,0.9438
data_cat\5\5-1.png,10,data_cat\2\2-6.png,0.9419
data_cat\5\5-10.png,1,data_cat\5\5-3.png,0.9262
data_cat\5\5-10.png,2,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9248
data_cat\5\5-10.png,3,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9122
data_cat\5\5-10.png,4,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9089
data_cat\5\5-10.png,5,data_cat\5\5-6.png,0.9065
data_cat\5\5-10.png,6,data_cat\5\5-9.png,0.9029
data_cat\5\5-10.png,7,data_cat\2\2-10.png,0.9024
data_cat\5\5-10.png,8,data_cat\9\Snipaste_2026-06-05_15-20-53.png,0.9001
data_cat\5\5-10.png,9,data_cat\5\5-4.png,0.8983
data_cat\5\5-10.png,10,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.8962
data_cat\5\5-3.png,1,data_cat\5\5-6.png,0.9305
data_cat\5\5-3.png,2,data_cat\5\5-4.png,0.9300
data_cat\5\5-3.png,3,data_cat\5\5-10.png,0.9262
data_cat\5\5-3.png,4,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9211
data_cat\5\5-3.png,5,data_cat\5\5-9.png,0.9166
data_cat\5\5-3.png,6,data_cat\5\5-1.png,0.9099
data_cat\5\5-3.png,7,data_cat\9\Snipaste_2026-06-05_15-20-07.png,0.9087
data_cat\5\5-3.png,8,data_cat\1\Snipaste_2026-06-03_17-57-05.png,0.9071
data_cat\5\5-3.png,9,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9046
data_cat\5\5-3.png,10,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9033
data_cat\5\5-4.png,1,data_cat\5\5-1.png,0.9550
data_cat\5\5-4.png,2,data_cat\5\5-9.png,0.9476
data_cat\5\5-4.png,3,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9370
data_cat\5\5-4.png,4,data_cat\4\4-4.png,0.9349
data_cat\5\5-4.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9310
data_cat\5\5-4.png,6,data_cat\5\5-3.png,0.9300
data_cat\5\5-4.png,7,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9284
data_cat\5\5-4.png,8,data_cat\4\4-3.png,0.9276
data_cat\5\5-4.png,9,data_cat\2\2-3.png,0.9243
data_cat\5\5-4.png,10,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9227
data_cat\5\5-6.png,1,data_cat\5\5-1.png,0.9745
data_cat\5\5-6.png,2,data_cat\5\5-4.png,0.9654
data_cat\5\5-6.png,3,data_cat\2\2-3.png,0.9633
data_cat\5\5-6.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9611
data_cat\5\5-6.png,5,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9607
data_cat\5\5-6.png,6,data_cat\4\4-4.png,0.9594
data_cat\5\5-6.png,7,data_cat\4\4-3.png,0.9530
data_cat\5\5-6.png,8,data_cat\9\Snipaste_2026-06-05_15-19-43.png,0.9528
data_cat\5\5-6.png,9,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9516
data_cat\5\5-6.png,10,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9481
data_cat\5\5-7.png,1,data_cat\5\5-3.png,0.9502
data_cat\5\5-7.png,2,data_cat\1\Snipaste_2026-06-03_17-52-55.png,0.9440
data_cat\5\5-7.png,3,data_cat\5\5-9.png,0.9334
data_cat\5\5-7.png,4,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9306
data_cat\5\5-7.png,5,data_cat\1\Snipaste_2026-06-03_17-56-56.png,0.9305
data_cat\5\5-7.png,6,data_cat\1\Snipaste_2026-06-03_17-52-48.png,0.9298
data_cat\5\5-7.png,7,data_cat\1\Snipaste_2026-06-03_17-54-27.png,0.9276
data_cat\5\5-7.png,8,data_cat\5\5-10.png,0.9274
data_cat\5\5-7.png,9,data_cat\5\5-6.png,0.9222
data_cat\5\5-7.png,10,data_cat\2\2-2.png,0.9136
data_cat\5\5-9.png,1,data_cat\5\5-1.png,0.9725
data_cat\5\5-9.png,2,data_cat\1\Snipaste_2026-06-03_17-56-40.png,0.9641
data_cat\5\5-9.png,3,data_cat\8\Snipaste_2026-06-05_15-16-40.png,0.9615
data_cat\5\5-9.png,4,data_cat\2\2-3.png,0.9597
data_cat\5\5-9.png,5,data_cat\4\4-3.png,0.9578
data_cat\5\5-9.png,6,data_cat\8\Snipaste_2026-06-05_15-17-06.png,0.9513
data_cat\5\5-9.png,7,data_cat\4\4-4.png,0.9507
data_cat\5\5-9.png,8,data_cat\5\5-4.png,0.9476
data_cat\5\5-9.png,9,data_cat\8\Snipaste_2026-06-05_15-16-55.png,0.9471
data_cat\5\5-9.png,10,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9464
data_cat\6\Snipaste_2026-06-03_18-01-03.png,1,data_cat\6\Snipaste_2026-06-03_18-02-13.png,0.9399
data_cat\6\Snipaste_2026-06-03_18-01-03.png,2,data_cat\6\Snipaste_2026-06-03_18-02-01.png,0.9383
data_cat\6\Snipaste_2026-06-03_18-01-03.png,3,data_cat\1\Snipaste_2026-06-03_17-54-38.png,0.9367
data_cat\6\Snipaste_2026-06-03_18-01-03.png,4,data_cat\2\2-3.png,0.9298
data_cat\6\Snipaste_2026-06-03_18-01-03.png,5,data_cat\6\Snipaste_2026-06-03_18-03-09.png,0.9297
data_cat\6\Snipaste_2026-06-03_18-01-03.png,6,data_cat\6\Snipaste_2026-06-03_18-02-22.png,0.9283
data_cat\6\Snipaste_2026-06-03_18-01-03.png,7,data_cat\9\Snipaste_2026-06-05_15-19-37.png,0.9266
